step , loss 
9613 , 24.11
9614 , 24.02
9615 , 40.22
9616 , 34.68
9617 , 39.43
9618 , 13.60
9619 , 44.39
9620 , 24.02
9621 , 60.55
9622 , 32.94
9623 , 27.77
9624 , 18.52
9625 , 40.58
9626 , 27.91
9627 , 18.16
9628 , 38.49
9629 , 17.01
9630 , 16.63
9631 , 18.79
9632 , 14.37
9633 , 22.67
9634 , 12.04
9635 , 14.31
9636 , 44.87
9637 , 29.88
9638 , 30.98
9639 , 12.90
9640 , 23.72
9641 , 39.09
9642 , 59.93
9643 , 38.60
9644 , 42.72
9645 , 20.90
9646 , 36.49
9647 , 48.03
9648 , 44.99
9649 , 15.71
9650 , 17.48
9651 , 33.44
9652 , 27.62
9653 , 33.41
9654 , 43.49
9655 , 30.73
9656 , 44.70
9657 , 18.47
9658 , 54.48
9659 , 17.50
9660 , 25.51
9661 , 53.34
9662 , 24.87
9663 , 25.20
9664 , 21.15
9665 , 27.15
9666 , 14.93
9667 , 18.10
9668 , 22.71
9669 , 27.84
9670 , 21.71
9671 , 19.61
9672 , 44.45
9673 , 26.27
9674 , 17.74
9675 , 37.22
9676 , 28.87
9677 , 32.28
9678 , 25.18
9679 , 24.57
9680 , 16.46
9681 , 23.32
9682 , 20.10
9683 , 14.76
9684 , 36.06
9685 , 26.24
9686 , 27.92
9687 , 38.35
9688 , 19.71
9689 , 19.39
9690 , 25.17
9691 , 38.31
9692 , 24.53
9693 , 35.96
9694 , 30.68
9695 , 20.76
9696 , 19.91
10561 , 19.98
10562 , 20.09
10563 , 20.21
10564 , 45.31
10565 , 14.52
10566 , 16.48
10567 , 38.16
10568 , 31.54
10569 , 29.54
10570 , 21.37
10571 , 25.28
10572 , 75.10
10573 , 22.79
10574 , 22.94
10575 , 41.46
10576 , 36.72
10577 , 41.11
10578 , 21.74
10579 , 49.04
10580 , 19.33
10581 , 60.90
10582 , 27.71
10583 , 25.93
10584 , 15.77
10585 , 39.96
10586 , 23.42
10587 , 17.93
10588 , 20.81
10589 , 16.59
10590 , 14.48
10591 , 14.59
10592 , 11.77
10593 , 23.04
10594 , 10.47
10595 , 10.76
10596 , 30.53
10597 , 27.55
10598 , 21.77
10599 , 12.67
10600 , 22.13
10601 , 40.22
10602 , 41.40
10603 , 28.07
10604 , 37.52
10605 , 22.35
10606 , 38.09
10607 , 49.64
10608 , 33.91
10609 , 10.38
10610 , 21.89
10611 , 29.31
10612 , 27.14
10613 , 38.52
10614 , 40.21
10615 , 26.25
10616 , 49.24
10617 , 16.02
10618 , 49.82
10619 , 17.62
10620 , 25.20
10621 , 47.79
10622 , 25.97
10623 , 24.87
10624 , 31.20
10625 , 23.63
10626 , 16.99
10627 , 15.94
10628 , 21.56
10629 , 31.66
10630 , 19.93
10631 , 16.65
10632 , 55.87
10633 , 25.80
10634 , 16.03
10635 , 32.23
